2010-06-04 21:58:45 Debug: Notice (8): Undefined property: Gallery::$webroot in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 25]
2010-06-04 22:05:14 Debug: Notice (8): Undefined variable: pictures in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\views\galleries\index.ctp, line 6]
2010-06-04 22:05:16 Debug: Notice (8): Undefined variable: pictures in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\views\galleries\index.ctp, line 6]
2010-06-04 22:18:15 Debug: Notice (8): Undefined offset: 0 in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 34]
2010-06-04 22:18:16 Debug: Notice (8): Undefined offset: 0 in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 34]
2010-06-04 22:44:10 Debug: Notice (8): Undefined property: GalleriesController::$gallery in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\controllers\galleries_controller.php, line 15]
2010-06-04 22:44:12 Debug: Notice (8): Undefined property: GalleriesController::$gallery in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\controllers\galleries_controller.php, line 15]
2010-06-04 22:44:13 Debug: Notice (8): Undefined property: GalleriesController::$gallery in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\controllers\galleries_controller.php, line 15]
2010-06-04 22:45:40 Debug: Notice (8): Undefined index: gallery in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 21]
2010-06-04 22:45:56 Debug: Notice (8): Undefined index: gallery in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 21]
2010-06-04 22:46:52 Debug: Notice (8): Undefined property: Gallery::$params in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 20]
2010-06-04 22:46:52 Debug: Notice (8): Undefined index: gallery in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 21]
2010-06-04 22:46:52 Debug: Notice (8): Undefined property: Gallery::$params in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 20]
2010-06-04 22:46:52 Debug: Notice (8): Undefined index: gallery in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 21]
2010-06-04 22:46:53 Debug: Notice (8): Undefined property: Gallery::$params in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 20]
2010-06-04 22:46:53 Debug: Notice (8): Undefined index: gallery in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 21]
2010-06-04 22:46:53 Debug: Notice (8): Undefined property: Gallery::$params in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 20]
2010-06-04 22:46:53 Debug: Notice (8): Undefined index: gallery in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 21]
2010-06-04 22:46:54 Debug: Notice (8): Undefined property: Gallery::$params in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 20]
2010-06-04 22:46:54 Debug: Notice (8): Undefined index: gallery in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 21]
2010-06-04 22:46:58 Debug: Notice (8): Undefined index: gallery in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 21]
2010-06-04 22:49:36 Debug: Notice (8): Undefined variable: gallery_name in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\controllers\galleries_controller.php, line 29]
2010-06-04 22:49:38 Debug: Notice (8): Undefined variable: gallery_name in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\controllers\galleries_controller.php, line 29]
2010-06-04 22:51:10 Debug: Notice (8): Undefined index: before in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\view\helpers\form.php, line 844]
2010-06-04 22:51:10 Debug: Notice (8): Undefined index: between in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\view\helpers\form.php, line 844]
2010-06-04 22:51:10 Debug: Notice (8): Undefined index: after in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\view\helpers\form.php, line 844]
2010-06-04 22:51:10 Debug: Notice (8): Undefined index: format in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\view\helpers\form.php, line 847]
2010-06-04 22:51:29 Debug: Notice (8): Undefined index: before in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\view\helpers\form.php, line 844]
2010-06-04 22:51:29 Debug: Notice (8): Undefined index: between in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\view\helpers\form.php, line 844]
2010-06-04 22:51:29 Debug: Notice (8): Undefined index: after in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\view\helpers\form.php, line 844]
2010-06-04 22:51:29 Debug: Notice (8): Undefined index: format in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\view\helpers\form.php, line 847]
2010-06-04 22:54:13 Debug: Notice (8): Undefined variable: id in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\controllers\galleries_controller.php, line 15]
2010-06-04 22:56:21 Debug: Notice (8): Undefined variable: id in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\views\galleries\login.ctp, line 3]
2010-06-04 22:56:21 Debug: Notice (8): Undefined variable: id in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\views\galleries\login.ctp, line 7]
2010-06-04 22:56:23 Debug: Notice (8): Undefined variable: id in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\views\galleries\login.ctp, line 3]
2010-06-04 22:56:23 Debug: Notice (8): Undefined variable: id in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\views\galleries\login.ctp, line 7]
2010-06-04 22:56:46 Debug: Notice (8): Undefined variable: id in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\views\galleries\login.ctp, line 3]
2010-06-04 22:56:46 Debug: Notice (8): Undefined variable: id in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\views\galleries\login.ctp, line 7]
2010-06-04 22:56:56 Debug: Notice (8): Undefined variable: id in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\views\galleries\login.ctp, line 3]
2010-06-04 22:56:56 Debug: Notice (8): Undefined variable: id in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\views\galleries\login.ctp, line 7]
2010-06-04 22:58:17 Debug: Notice (8): Trying to get property of non-object in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\controllers\galleries_controller.php, line 15]
2010-06-04 22:59:55 Debug: Notice (8): Undefined index: data in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\controllers\galleries_controller.php, line 15]
2010-06-04 22:59:57 Debug: Notice (8): Undefined index: data in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\controllers\galleries_controller.php, line 15]
2010-06-04 23:00:07 Debug: Notice (8): Undefined index: data in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\controllers\galleries_controller.php, line 15]
2010-06-04 23:05:19 Debug: Notice (8): Undefined variable: id in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\controllers\galleries_controller.php, line 25]
2010-06-04 23:05:22 Debug: Notice (8): Undefined variable: id in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\controllers\galleries_controller.php, line 25]
2010-06-04 23:05:40 Debug: Notice (8): Undefined variable: id in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\controllers\galleries_controller.php, line 20]
2010-06-04 23:06:02 Debug: Notice (8): Undefined variable: id in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\controllers\galleries_controller.php, line 19]
2010-06-04 23:10:34 Debug: Notice (8): Undefined variable: id in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\controllers\galleries_controller.php, line 24]
2010-06-04 23:30:22 Debug: Notice (8): Undefined variable: id in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\views\galleries\login.ctp, line 3]
2010-06-04 23:54:04 Debug: Notice (8): Undefined variable: logged_in in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\views\layouts\default.ctp, line 22]
2010-06-05 00:59:20 Debug: Notice (8): Undefined variable: fileName in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 73]
2010-06-05 01:02:00 Debug: Notice (8): Undefined index: full_path in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\views\galleries\show.ctp, line 9]
2010-06-05 01:02:00 Debug: Notice (8): Undefined index: full_path in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\views\galleries\show.ctp, line 10]
2010-06-05 01:02:00 Debug: Notice (8): Undefined index: file_name in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\views\galleries\show.ctp, line 13]
2010-06-05 01:02:05 Debug: Notice (8): Undefined index: full_path in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\views\galleries\show.ctp, line 9]
2010-06-05 01:02:05 Debug: Notice (8): Undefined index: full_path in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\views\galleries\show.ctp, line 10]
2010-06-05 01:02:05 Debug: Notice (8): Undefined index: file_name in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\views\galleries\show.ctp, line 13]
2010-06-05 01:02:17 Debug: Notice (8): Undefined index: full_path in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\views\galleries\show.ctp, line 9]
2010-06-05 01:02:17 Debug: Notice (8): Undefined index: full_path in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\views\galleries\show.ctp, line 10]
2010-06-05 01:02:17 Debug: Notice (8): Undefined index: file_name in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\views\galleries\show.ctp, line 13]
2010-06-05 01:02:17 Debug: Notice (8): Undefined index: full_path in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\views\galleries\show.ctp, line 9]
2010-06-05 01:02:17 Debug: Notice (8): Undefined index: full_path in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\views\galleries\show.ctp, line 10]
2010-06-05 01:02:17 Debug: Notice (8): Undefined index: file_name in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\views\galleries\show.ctp, line 13]
2010-06-05 01:07:10 Debug: Notice (8): Use of undefined constant WEBROOT - assumed 'WEBROOT' in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\views\layouts\default.ctp, line 41]
2010-06-05 01:07:10 Debug: Notice (8): Use of undefined constant WEBROOT - assumed 'WEBROOT' in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\views\layouts\default.ctp, line 41]
2010-06-05 01:07:15 Debug: Notice (8): Use of undefined constant WEB_ROOT - assumed 'WEB_ROOT' in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\views\layouts\default.ctp, line 41]
2010-06-05 01:07:15 Debug: Notice (8): Use of undefined constant WEB_ROOT - assumed 'WEB_ROOT' in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\views\layouts\default.ctp, line 41]
2010-06-05 01:26:20 Debug: Notice (8): Undefined variable: id in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\controllers\galleries_controller.php, line 78]
2010-06-05 01:26:44 Debug: Notice (8): Undefined variable: id in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\controllers\galleries_controller.php, line 78]
2010-06-05 10:02:06 Debug: Notice (8): Undefined index: file_name in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\views\galleries\show.ctp, line 9]
2010-06-05 10:02:06 Debug: Notice (8): Undefined index: full_path in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\views\galleries\show.ctp, line 9]
2010-06-05 10:02:06 Debug: Notice (8): Undefined index: full_path in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\views\galleries\show.ctp, line 10]
2010-06-05 10:02:06 Debug: Notice (8): Undefined index: file_name in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\views\galleries\show.ctp, line 13]
2010-06-05 10:02:06 Debug: Notice (8): Undefined index: file_name in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\views\galleries\show.ctp, line 14]
2010-06-05 10:02:08 Debug: Notice (8): Undefined index: file_name in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 116]
