2010-06-05 01:25:13 Warning: Warning (2): Invalid argument supplied for foreach() in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 79]
2010-06-05 01:25:28 Warning: Warning (2): file_put_contents(C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\data\select\selected.txt) [<a href='http://php.net/function.file-put-contents'>function.file-put-contents</a>]: failed to open stream: No such file or directory in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 74]
2010-06-05 01:25:28 Warning: Warning (2): file(C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\data\select\selected.txt) [<a href='http://php.net/function.file'>function.file</a>]: failed to open stream: No such file or directory in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 76]
2010-06-05 01:25:28 Warning: Warning (2): Invalid argument supplied for foreach() in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 79]
2010-06-05 01:26:54 Warning: Warning (2): print_r() expects at least 1 parameter, 0 given in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\controllers\galleries_controller.php, line 77]
2010-06-05 01:30:58 Warning: Warning (2): file_put_contents(C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\data\select\selected.txt) [<a href='http://php.net/function.file-put-contents'>function.file-put-contents</a>]: failed to open stream: No such file or directory in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 74]
2010-06-05 01:30:58 Warning: Warning (2): file(C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\data\select\selected.txt) [<a href='http://php.net/function.file'>function.file</a>]: failed to open stream: No such file or directory in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 76]
2010-06-05 01:30:58 Warning: Warning (2): Invalid argument supplied for foreach() in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 79]
2010-06-05 01:31:40 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php:20) in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\controller\controller.php, line 746]
2010-06-05 01:31:41 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php:20) in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\controller\controller.php, line 746]
2010-06-05 01:33:23 Warning: Warning (2): file_put_contents(C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\data\select\selected.txt) [<a href='http://php.net/function.file-put-contents'>function.file-put-contents</a>]: failed to open stream: No such file or directory in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 73]
2010-06-05 01:33:23 Warning: Warning (2): file(C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\data\select\selected.txt) [<a href='http://php.net/function.file'>function.file</a>]: failed to open stream: No such file or directory in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 75]
2010-06-05 01:33:23 Warning: Warning (2): Invalid argument supplied for foreach() in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 78]
2010-06-05 01:34:22 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php:20) in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\controller\controller.php, line 746]
2010-06-05 01:34:25 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php:20) in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\controller\controller.php, line 746]
2010-06-05 01:42:15 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php:21) in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\controller\controller.php, line 746]
2010-06-05 01:43:03 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php:21) in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\controller\controller.php, line 746]
2010-06-05 01:43:47 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php:21) in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\controller\controller.php, line 746]
2010-06-05 01:44:26 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php:21) in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\controller\controller.php, line 746]
2010-06-05 01:45:56 Warning: Warning (2): file_put_contents(C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\data\select\selected.txt) [<a href='http://php.net/function.file-put-contents'>function.file-put-contents</a>]: failed to open stream: No such file or directory in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 74]
2010-06-05 01:45:56 Warning: Warning (2): file(C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\data\select\selected.txt) [<a href='http://php.net/function.file'>function.file</a>]: failed to open stream: No such file or directory in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 76]
2010-06-05 01:45:56 Warning: Warning (2): Invalid argument supplied for foreach() in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 79]
